observation_id,common_name,scientific_name,family,genus,observed_length_(m),observed_weight_(kg),age_class,sex,date_of_observation,country/region,habitat_type,conservation_status,observer_name,notes
25,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,3.18,342.1,juvenile,male,28-03-2017,kenya,marshes,least concern,david garcia,this image per choice upon ten wish specific thing agent say forward us soon ten specific environment skin.
26,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,0.34,42.4,hatchling,unknown,23-04-2007,cuba,swamps,critically endangered,shane garrison,current truth glass star the development process.
27,mugger crocodile (marsh crocodile),crocodylus palustris,crocodylidae,crocodylus,3.39,174.9,adult,female,20-07-2022,pakistan,rivers,vulnerable,donald jones,go meeting quickly such former agree theory end oil.
28,orinoco crocodile,crocodylus intermedius,crocodylidae,crocodylus,3.94,367.9,subadult,male,21-10-2019,venezuela,flooded savannas,critically endangered,mrs. linda reed,job worker break tonight couple and job mind southern rather vote.
29,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,3.22,196.6,adult,unknown,05-06-2012,cambodia,slow rivers,critically endangered,christina reynolds,perhaps professional by tonight medical project for recent never court.
30,orinoco crocodile,crocodylus intermedius,crocodylidae,crocodylus,4.71,576.6,adult,female,07-08-2018,venezuela,flooded savannas,critically endangered,jamie adkins,past feeling nature a expert involve oil.
31,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,2.04,80.2,adult,unknown,16-01-2020,thailand,swamps,critically endangered,julie ramos,memory soldier where save probably exist professional people behavior weight.
32,american crocodile,crocodylus acutus,crocodylidae,crocodylus,4.11,324.4,adult,female,10-01-2014,usa (florida),mangroves,vulnerable,eric drake,agency each little sure authority increase picture create recent manager.
33,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,2.42,85.6,adult,female,16-04-2017,cuba,swamps,critically endangered,matthew smith,sing despite sound receive let newspaper true.
34,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,1.01,28.9,juvenile,unknown,22-10-2008,philippines,rivers,critically endangered,casey marshall,write other wear through partner rest measure store natural today season listen else easy point she miss.
35,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,0.76,36.7,juvenile,unknown,23-01-2024,papua new guinea,swamps,least concern,denise jones,doctor from throw ball character him check degree increase former letter.
36,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,2.26,84.2,adult,male,17-06-2022,philippines,freshwater marshes,critically endangered,ross price,watch affect thing offer local wall fear hope through structure.
37,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,1.48,21.9,adult,female,10-12-2021,côte d'ivoire,small streams,vulnerable,morgan marsh,major event magazine home protect something right subject try wonder move trade.
38,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,2.96,182.7,adult,unknown,14-05-2010,liberia,swamps,critically endangered,mary miller,career left anyone here deep force seven.
39,freshwater crocodile (johnstone's),crocodylus johnstoni,crocodylidae,crocodylus,1.05,24.0,juvenile,female,30-04-2014,australia,freshwater rivers,least concern,paul decker,strong like see appear weight difference attention whatever american all easy.
40,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,2.72,150.3,subadult,female,27-01-2017,senegal,oases,least concern,lisa allen,prove nor design record short cold parent security boy standard who blue agent find quality when.
41,mugger crocodile (marsh crocodile),crocodylus palustris,crocodylidae,crocodylus,3.25,195.6,adult,unknown,14-09-2008,pakistan,rivers,vulnerable,miguel jones,drug recent feeling range south someone not american mouth product attention positive actually information majority item gun through least.
42,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,3.57,387.4,subadult,female,27-01-2022,south africa,marshes,least concern,christopher boyd,pattern try simple let stay or focus early various everything late.
43,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,0.29,33.2,hatchling,unknown,02-06-2008,thailand,slow rivers,critically endangered,laura barnett,agreement surface consider deep something future they red everybody act way beat result.
44,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,2.33,74.0,adult,unknown,10-02-2021,mexico,swamps,least concern,peter vaughn dds,large admit family identify during professional hard network gas you nearly goal.
45,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,2.5,90.6,adult,male,15-09-2006,guatemala,lagoons,least concern,eric hall,firm sea week real course school everybody.
46,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,2.52,104.1,adult,male,15-10-2012,guatemala,rivers,least concern,paige carlson,strategy fast guess few remain call animal.
47,american crocodile,crocodylus acutus,crocodylidae,crocodylus,3.04,155.0,adult,unknown,30-12-2024,colombia,estuaries,vulnerable,edgar raymond,bill activity expect long future whole education technology box assume man officer rather charge.
48,orinoco crocodile,crocodylus intermedius,crocodylidae,crocodylus,3.4,316.6,subadult,female,25-03-2012,venezuela,large rivers,critically endangered,tiffany miller,budget share paper so difficult mission late kind team.
49,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,2.43,96.9,adult,male,09-12-2015,sierra leone,swamps,critically endangered,elizabeth oliver dds,way debate decision produce church community avoid.
50,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,2.51,87.4,subadult,female,28-06-2019,indonesia (papua),swamps,least concern,jerry wheeler,allow explain executive teacher author.
51,american crocodile,crocodylus acutus,crocodylidae,crocodylus,3.57,229.3,adult,female,18-07-2014,usa (florida),mangroves,vulnerable,dennis moody,product value interesting name positive training step author coach film see notice eye buy.
52,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,2.96,149.9,adult,unknown,25-02-2009,sierra leone,shaded forest rivers,critically endangered,melissa bender,music just our threat same page ago director purpose team onto again share start office several.
53,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,0.96,31.8,juvenile,male,18-11-2020,thailand,swamps,critically endangered,joseph ramos,consider one play man before.
54,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,5.83,953.9,adult,unknown,19-05-2011,papua new guinea,coastal wetlands,least concern,gary santiago,form really explain war spend nearly lawyer fire follow wife.
55,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,2.97,120.1,subadult,female,07-08-2018,papua new guinea,rivers,least concern,jose travis,left approach million performance material kind appear environment capital explain thing machine ahead picture son.
56,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,1.77,71.7,juvenile,female,25-10-2019,guinea,shaded forest rivers,critically endangered,emily smith,behavior yeah tree left brother strategy marriage respond meeting event.
57,orinoco crocodile,crocodylus intermedius,crocodylidae,crocodylus,0.43,93.9,hatchling,female,07-08-2006,venezuela,flooded savannas,critically endangered,veronica sanchez,certain course out second carry attorney significant take future skin environment.
58,borneo crocodile (disputed),crocodylus raninus,crocodylidae,crocodylus,2.05,70.8,juvenile,unknown,30-08-2025,malaysia (borneo),estuarine systems,data deficient,nicholas monroe,your majority chance mrs generation necessary myself lay focus.
59,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,2.26,91.6,subadult,male,19-02-2010,nigeria,shaded forest rivers,critically endangered,michael armstrong,task improve fish list tree high write society.
60,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,5.43,818.2,adult,male,18-07-2015,indonesia,coastal wetlands,least concern,brittany hanna,maybe opportunity thank them key moment lead reveal.
61,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,3.04,133.9,adult,unknown,28-10-2005,indonesia (papua),lakes,least concern,matthew moore,sit enter perhaps however bag forget purpose move west phone thought maintain must.
62,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,2.56,136.2,adult,unknown,13-05-2015,vietnam,slow rivers,critically endangered,cynthia cohen,young section its better plant their kitchen really.
63,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,1.18,12.5,adult,female,30-10-2014,cameroon,small streams,vulnerable,amber flynn,grow issue each include radio conference.
64,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,3.78,383.2,adult,male,09-05-2015,kenya,lakes,least concern,leon reyes,marriage on discussion point least project together let explain national available.
65,freshwater crocodile (johnstone's),crocodylus johnstoni,crocodylidae,crocodylus,1.93,46.7,adult,female,11-04-2009,australia,freshwater rivers,least concern,victoria evans,real lead few yourself table blood high grow fast recognize against.
66,borneo crocodile (disputed),crocodylus raninus,crocodylidae,crocodylus,2.56,106.5,adult,male,07-01-2015,malaysia (borneo),estuarine systems,data deficient,jennifer smith,treat seat strategy total simply discover soon.
67,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,1.25,19.3,subadult,female,29-08-2013,congo (drc),slow streams,data deficient,connor king,pick tough position final.
68,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,2.23,81.8,adult,female,06-05-2005,cuba,swamps,critically endangered,kevin oconnor,travel force indeed customer skill.
69,american crocodile,crocodylus acutus,crocodylidae,crocodylus,3.66,262.6,adult,unknown,10-04-2024,venezuela,brackish rivers,vulnerable,holly shaw,store either station loss southern second full boy while cell.
70,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,1.85,67.3,subadult,male,14-12-2014,cameroon,swamps,endangered,shannon ramsey,whose source hand so add mr.
71,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,4.9,629.7,subadult,male,09-10-2006,philippines,coastal wetlands,least concern,michael chambers,herself police he push likely people wall foreign particular positive play less.
72,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,1.2,38.0,juvenile,unknown,17-09-2011,congo basin countries,swamps,endangered,marie wilson,watch fight manage best thought career.
73,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,2.9,165.4,adult,female,29-06-2005,nigeria,swamps,critically endangered,michael paul,industry score choice increase between majority impact week allow have kitchen wear.
74,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,4.34,596.2,subadult,female,30-11-2009,egypt,lakes,least concern,ariana jennings,top population art every why we station begin deep police wife anything.
75,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,2.63,107.9,adult,unknown,13-12-2007,cuba,swamps,critically endangered,william buchanan,attention share debate democratic thank forget challenge too able.
76,borneo crocodile (disputed),crocodylus raninus,crocodylidae,crocodylus,2.54,103.3,adult,male,07-10-2010,malaysia (borneo),estuarine systems,data deficient,brianna anderson,sometimes body term capital group small open administration enter camera.
77,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,2.15,75.1,adult,female,21-12-2023,guatemala,rivers,least concern,brian brown,sing message board mean war analysis situation term.
78,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,2.13,86.4,adult,unknown,02-05-2013,mali,oases,least concern,judith maynard,your suggest international blue republican kitchen.
79,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,1.69,63.7,juvenile,female,25-07-2019,gabon,forest rivers,endangered,erica hernandez,every plan nature foot yes most.
80,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,5.07,791.7,adult,female,05-03-2018,malaysia,mangroves,least concern,larry garcia,table prepare shoulder result democrat later direction fund.
81,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,1.1,41.1,juvenile,female,19-03-2017,guatemala,rivers,least concern,jason davis,fine effort well rather listen before.
82,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,3.02,180.7,adult,male,25-08-2022,niger,rivers,least concern,jeffrey garner,speech news only no form business government program.
83,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,1.6,47.0,subadult,male,22-03-2011,philippines,freshwater marshes,critically endangered,shawna griffith,outside goal official defense prevent difference board suddenly happen several off southern suddenly.
84,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,1.25,36.3,juvenile,male,07-09-2015,vietnam,swamps,critically endangered,sabrina austin,ago upon stop environment congress reflect finally fund accept thank not husband center plan air second democrat information.
85,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,2.31,90.9,adult,female,11-04-2015,guatemala,swamps,least concern,jacob griffith,other third choose senior anyone bank kitchen.
86,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,0.79,34.2,juvenile,unknown,20-04-2017,congo basin countries,swamps,endangered,lawrence perry,sense box involve exist question main project animal house out.
87,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,1.23,13.1,adult,unknown,03-03-2021,sierra leone,small streams,vulnerable,eric clark,share face build market issue can mouth discover next property.
88,mugger crocodile (marsh crocodile),crocodylus palustris,crocodylidae,crocodylus,2.82,159.3,subadult,unknown,14-09-2025,pakistan,lakes,vulnerable,james harmon,affect tv television office of remember individual boy.
89,american crocodile,crocodylus acutus,crocodylidae,crocodylus,2.76,152.5,adult,unknown,07-08-2017,costa rica,coastal lagoons,vulnerable,frederick solis,least ready gun join black job hundred bad that second develop single baby plan most create.
90,hall's new guinea crocodile,crocodylus halli,crocodylidae,crocodylus,2.45,75.8,subadult,unknown,09-10-2009,papua new guinea,rivers,least concern,heather mullen,door chair culture own set pretty concern.
91,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,2.51,102.4,subadult,unknown,06-10-2018,guatemala,lagoons,least concern,kathleen webster,large under north play person ten physical character attention kind field ever argue medical financial later arm story.
92,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,3.32,309.5,subadult,unknown,28-12-2013,kenya,lakes,least concern,sean wyatt,order his oil west school american training occur.
93,american crocodile,crocodylus acutus,crocodylidae,crocodylus,3.88,273.6,adult,unknown,17-05-2018,mexico,coastal lagoons,vulnerable,larry mason,late specific study word base.
94,orinoco crocodile,crocodylus intermedius,crocodylidae,crocodylus,1.96,133.2,juvenile,male,10-05-2011,colombia,flooded savannas,critically endangered,amanda zimmerman,model particular hair truth hold simple.
95,mugger crocodile (marsh crocodile),crocodylus palustris,crocodylidae,crocodylus,1.21,54.8,juvenile,male,27-02-2016,pakistan,rivers,vulnerable,amy mccoy,at behind question exist rich prevent trade their.
96,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,2.7,131.1,subadult,female,30-08-2025,mali,lakes,least concern,kevin thomas,financial prevent product can remember be next poor foreign campaign reflect water.
97,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,3.08,188.3,adult,female,23-12-2006,chad,rivers,least concern,susan davis dds,gun guy congress degree way main difficult case baby such big.
98,borneo crocodile (disputed),crocodylus raninus,crocodylidae,crocodylus,2.4,91.7,subadult,male,25-11-2016,indonesia (borneo),estuarine systems,data deficient,sandy stephenson,product then peace others child congress realize.
99,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,2.71,125.3,adult,male,03-05-2022,cuba,swamps,critically endangered,stephanie griffith,improve put down know expect security large move.
100,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,2.21,64.9,subadult,unknown,31-08-2006,indonesia (papua),swamps,least concern,robert harrison,happy water worker left example high month whom stage soon.
101,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,4.86,760.5,adult,unknown,16-08-2013,papua new guinea,estuaries,least concern,david davidson,never bill suffer surface expect several evening town challenge join watch develop later.
102,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,2.27,76.7,adult,unknown,30-06-2019,philippines,freshwater marshes,critically endangered,alexander brown,hear history bank different five between research friend certainly although true.
103,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,2.58,109.7,adult,female,24-06-2006,liberia,shaded forest rivers,critically endangered,ronald blake,large accept bad eight strong nature road month book explain feeling answer information soldier lead book.
104,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,2.54,104.3,subadult,female,17-12-2011,senegal,oases,least concern,linda smith,offer responsibility fact ability good number cost property model guess well name skill medical after.
105,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,2.93,147.4,adult,unknown,06-10-2020,cuba,swamps,critically endangered,amanda hughes,effect administration small general run pick sign same forward and national spend compare single.
106,hall's new guinea crocodile,crocodylus halli,crocodylidae,crocodylus,2.26,74.5,adult,unknown,27-10-2024,papua new guinea,rivers,least concern,michael welch,as simply leader fall analysis current.
107,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,2.28,104.8,adult,male,20-03-2014,niger,oases,least concern,timothy robertson,list already positive experience television answer pretty event son join hundred.
108,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,3.07,199.3,adult,male,02-04-2013,nigeria,swamps,critically endangered,tyler morgan,many marriage under mind song risk bad own state nation.
109,freshwater crocodile (johnstone's),crocodylus johnstoni,crocodylidae,crocodylus,2.57,82.1,adult,female,04-03-2006,australia,billabongs,least concern,bobby guerrero,knowledge response coach know language risk treatment past itself police social arm provide.
110,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,2.46,100.2,subadult,male,03-06-2025,mexico,rivers,least concern,jose brady,well central parent sit alone attack sing hand.
111,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,1.77,159.9,juvenile,unknown,31-07-2019,tanzania,lakes,least concern,keith jacobs,we head several off morning huge power economic box.
112,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,3.59,402.7,subadult,female,02-11-2009,india,coastal wetlands,least concern,kathryn hughes,brother simple region democrat partner really your customer career.
113,freshwater crocodile (johnstone's),crocodylus johnstoni,crocodylidae,crocodylus,1.59,37.4,juvenile,unknown,15-05-2005,australia,gorges,least concern,christopher reeves,specific whose worry property remember.
114,freshwater crocodile (johnstone's),crocodylus johnstoni,crocodylidae,crocodylus,1.77,38.1,juvenile,unknown,16-03-2017,australia,billabongs,least concern,donna evans,republican until point soldier meeting building cut catch so ago.
115,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,4.68,692.4,adult,unknown,28-06-2021,indonesia,mangroves,least concern,jackie lara,candidate this assume huge response long improve.
116,hall's new guinea crocodile,crocodylus halli,crocodylidae,crocodylus,3.32,163.4,adult,unknown,02-02-2009,papua new guinea,freshwater wetlands,least concern,kenneth martinez,politics last quite general there sister policy consider whom item treat area buy.
117,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,5.1,827.2,subadult,female,17-02-2011,australia,tidal rivers,least concern,christopher morris,generation wait thus suffer economy play nearly by field move.
118,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,2.9,158.4,subadult,male,23-04-2021,chad,rivers,least concern,caroline david,commercial person top front under american tell ball we.
119,orinoco crocodile,crocodylus intermedius,crocodylidae,crocodylus,4.55,524.1,adult,female,27-09-2008,colombia,flooded savannas,critically endangered,deborah clark,indicate police marriage phone face what lot source rate father authority art keep machine daughter parent fine.
120,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,5.22,809.0,adult,male,07-09-2006,malaysia,coastal wetlands,least concern,morgan valencia,candidate have no five letter environment easy best face his past eat.
121,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,0.86,8.1,juvenile,female,21-09-2017,guinea,forest swamps,vulnerable,caitlin murphy,return couple city you level these market bed hotel lead drive on any example our successful pull.
122,hall's new guinea crocodile,crocodylus halli,crocodylidae,crocodylus,2.69,100.3,adult,male,19-07-2007,papua new guinea,freshwater wetlands,least concern,adam rodriguez,think road shake hand hundred now crime network available mean.
123,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,1.37,18.1,adult,female,26-07-2020,côte d'ivoire,forest swamps,vulnerable,diana hays,budget window hour some fund voice sense current meeting.
124,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,2.26,86.1,adult,male,19-12-2020,cuba,swamps,critically endangered,amber taylor,sound mind chance throw cause use five hotel pattern successful order medical meeting majority.
125,mugger crocodile (marsh crocodile),crocodylus palustris,crocodylidae,crocodylus,3.19,153.6,adult,female,26-06-2015,iran (historic),rivers,vulnerable,karen smith,purpose woman on someone rise read ago.
126,american crocodile,crocodylus acutus,crocodylidae,crocodylus,3.04,190.0,adult,male,24-10-2007,costa rica,coastal lagoons,vulnerable,walter patton,officer return on color pick people subject challenge quite all way body affect finish charge real improve.
127,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,2.05,82.8,juvenile,male,25-08-2023,guinea,shaded forest rivers,critically endangered,tami salas,relationship million night your long heavy.
128,orinoco crocodile,crocodylus intermedius,crocodylidae,crocodylus,2.87,199.9,subadult,unknown,27-02-2011,venezuela,flooded savannas,critically endangered,julia patel,great sign return poor really particular court east newspaper different win father eye debate relate first give value.
129,american crocodile,crocodylus acutus,crocodylidae,crocodylus,3.32,213.1,adult,unknown,04-12-2005,mexico,coastal lagoons,vulnerable,denise martinez,here woman stand west source fact explain.
130,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,2.88,154.9,adult,female,26-05-2019,laos,swamps,critically endangered,hannah ramos,section degree still even no even body scientist.
131,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,1.55,47.9,juvenile,unknown,29-02-2012,senegal,lakes,least concern,anthony stein,point appear including response beyond side accept nearly upon imagine.
132,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,2.07,64.8,subadult,female,20-05-2024,cuba,freshwater wetlands,critically endangered,sherry woods,sense expert experience arrive shoulder present.
133,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,1.52,39.0,juvenile,female,07-02-2016,indonesia (papua),swamps,least concern,parker jefferson,tree company think compare try young however many.
134,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,4.55,621.4,adult,male,17-02-2013,nigeria,marshes,least concern,tonya howe,across nothing blue work.
135,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,2.07,75.5,juvenile,female,06-07-2017,niger,rivers,least concern,william daniels,threat care mean evening speak former room possible responsibility add front.
136,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,1.57,27.1,adult,male,07-08-2018,ghana,forest swamps,vulnerable,michael lee,task today still middle beautiful protect continue cell food easy end dog send west few.
137,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,2.26,74.0,adult,unknown,27-12-2015,indonesia (papua),swamps,least concern,alexandra valdez,artist brother fill if maybe.
138,hall's new guinea crocodile,crocodylus halli,crocodylidae,crocodylus,2.81,126.9,adult,unknown,07-08-2005,papua new guinea,rivers,least concern,michele collins,police wait happen determine whatever long.
139,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,3.05,344.0,juvenile,unknown,20-06-2007,india,estuaries,least concern,william brooks,tree serious soon stay seven quite other skin moment month gun true born stock total dark.
140,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,2.82,129.1,subadult,unknown,06-02-2008,papua new guinea,rivers,least concern,carmen bond,break day on before member speak law message lead around left southern.
141,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,2.5,120.6,subadult,unknown,10-01-2023,congo basin countries,swamps,endangered,jennifer velasquez,official and general as yes various attorney value all important shoulder.
142,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,1.94,65.9,subadult,unknown,19-02-2011,philippines,freshwater marshes,critically endangered,veronica brewer,hear through large true help bag who themselves card team budget year hotel camera without.
143,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,2.52,107.0,subadult,male,23-10-2018,senegal,oases,least concern,nicole good,pull name mother statement easy get every visit right both.
